timestamp,nombre,descripcion_corta,score_generador,score_critico,tipo,dificultad,emails
2026-02-12T20:54:15.330700,AI Code Review,Herramienta de revisión de código asistida por IA,82,58,SaaS,Media
2026-02-12T21:59:41.393438,AI Code Review,Herramienta de revisión de código asistida por AI,82,55,SaaS,Media
2026-02-12T23:01:57.814944,AI Code Review,Revisa y mejora código con inteligencia artificial.,82,60,SaaS,Media
2026-02-13T05:12:00.015816,AI Code Review,Revisión de código asistida por IA para desarrolladores,80,58,SaaS,Media
2026-02-13T07:57:41.337574,AI Code Asistente,Herramienta de asistencia de código con IA,82,60,SaaS,Media
2026-02-13T08:37:04.477729,AutoDoc,Automatiza la documentación de código,85,60,SaaS,Media,586f749cfbe2aa25929e2853f852528c
2026-02-13T09:33:47.639561,Automatiza Documentos,Automatiza la generación de documentos y contratos para solopreneurs y freelancers,82,60,SaaS,Media,cd4266ace6cff68ed341fde58eb8090b
2026-02-13T09:36:49.994187,AutoDocuFlow,Automatiza la documentación de código con flujo de trabajo personalizable,82,60,SaaS,Media,a7f98081cbf30e4a7d8f65cebdf2a275
2026-02-13T09:42:59.903335,AutoDocuFlow Pro,Automatiza documentación técnica con IA,82,55,SaaS,Media,7d7a917093ee3530231eed44cd5f16e1
2026-02-13T10:28:14.283977,AutoDocuFlow Plus,Automatiza la documentación de código con IA,82,55,SaaS,Media,e90516e390c08910ac2268171f5a3291
2026-02-13T14:28:57.541304,AutoDocu,Automatiza la documentación de proyectos con IA,82,55,SaaS,Media,009f601344f2202c87ea009db8d1d5dd
2026-02-13T15:52:44.052258,PredictaStock,Optimiza inventario,85,60,SaaS,Media,063585fc
2026-02-13T16:37:35.672574,Greenify Supply,Optimiza cadena de suministro,85,60,SaaS,Media,f911bae2
2026-02-13T16:45:16.134175,EcoInventory,Optimiza inventarios sostenibles,85,60,SaaS,Media-Alta,f0db89b9
2026-02-13T19:30:03.065114,EcoSuppliers,Red de proveedores sostenibles,85,60,SaaS,Media,ccb5f143
2026-02-13T21:07:33.407632,EcoSupply,Optimiza tus cadenas de suministro sostenibles,85,60,SaaS,Media,cd0e5194
2026-02-13T22:05:00.456914,EcoLogística,Optimización logística sostenible,85,60,SaaS,Media,13b43772
2026-02-13T23:46:23.499090,Farmalab,Predictión de enfermedades en ganado,85,60,SaaS,Media-Alta,dae9aea3
2026-02-14T04:59:09.583812,EcoProveedores, Marketplace sostenible,90,60,SaaS,Media-Alta,944806d0
2026-02-14T07:22:38.663285,Ecodata Pro,Análisis de huella carbónica,85,60,SaaS,Media-Alta,e14ef6a6
2026-02-14T08:00:18.858343,OptiStock,Optimiza stock con IA,85,60,SaaS,Media-Alta,b4829c68
2026-02-14T09:04:51.797408,Farmacias Inteligentes,Optimiza gestión farmacéutica,85,60,SaaS,Media-Alta,de42ac64
2026-02-14T09:58:35.491956,EcoPyme,Ahorrando energía,85,60,SaaS,Media-Alta,a838d40c
2026-02-14T12:04:44.267442,FreelanceHub Pro,Pasan 4h/semana en admin: facturas; contratos; time tracking - Solución IA automatizada,88,75,SaaS,Media,e5ae9590
2026-02-14T12:31:53.275504,TalentScout AI Pro 2100,LinkedIn scraping manual de candidatos tarda 10h/semana - Solución IA automatizada,88,75,SaaS,Media,a9e6008d
2026-02-14T12:59:53.209426,SaaSMetrics Pro 1034,Seguimiento métricas en 5 herramientas; no ven MRR real - Solución IA automatizada,88,75,SaaS,Media,41481b6e
2026-02-14T13:56:44.308331,KeywordMiner AI Pro,Keyword research manual 4h/proyecto; pierden long-tails - Solución IA automatizada,88,75,SaaS,Media,1bb9f4b1
2026-02-14T14:57:11.654679,PropertyPro AI 7868 Pro,Descripciones propiedades genéricas; fotos sin optimizar - Solución AI automatizada,88,75,SaaS,Media,20fe0a67
2026-02-14T15:51:00.598917,PriceSpy Pro 1729,Pierden ventas porque competencia baja precios y no se enteran - Solución IA automatizada,87.5,75,SaaS,Media,e67b1988
